Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,528,600,612,False
jmeter_view_issue,392,326,302,False
jmeter_search_jql,878,716,673,False
jmeter_view_dashboard,264,215,197,False
jmeter_view_scrum_board,364,291,257,False
jmeter_view_backlog,553,431,418,False
jmeter_create_issue:open_quick_create,103,96,109,False
jmeter_create_issue:fill_and_submit_issue_form,450,379,350,False
jmeter_view_kanban_board,358,291,264,False
jmeter_browse_projects,156,122,118,False
jmeter_edit_issue:open_editor,210,179,174,False
jmeter_edit_issue:save_edit,653,535,450,False
jmeter_view_project_summary,238,182,182,False
jmeter_add_comment:open_comment,156,135,130,False
jmeter_add_comment:save_comment,578,465,430,False
jmeter_browse_boards,168,125,119,False
selenium_login:open_login_page,1183,1180,1170,False
selenium_login:login_and_view_dashboard,1284,1174,1139,False
selenium_login,2484,2361,2312,False
selenium_project_summary,425,416,408,False
selenium_browse_projects_list,319,301,288,False
selenium_browse_boards_list,270,246,304,False
selenium_create_issue:open_quick_create,838,836,809,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,701,705,708,False
selenium_create_issue:fill_and_submit_issue_form,1410,1376,1333,False
selenium_create_issue,2192,2141,2104,False
selenium_edit_issue:open_edit_issue_form,506,472,460,False
selenium_edit_issue:save_edit_issue_form,820,716,702,False
selenium_edit_issue,1926,1844,1796,False
selenium_save_comment:open_comment_form,272,274,258,False
selenium_save_comment:submit_form,716,693,668,False
selenium_save_comment,1675,1667,1617,False
selenium_search_jql,1522,1663,1426,False
selenium_view_scrum_board_backlog,1172,1173,1118,False
selenium_view_scrum_board,954,961,938,False
selenium_view_kanban_board,1196,1209,1174,False
selenium_view_dashboard,293,277,268,False
selenium_view_issue,492,487,464,False
selenium_app_custom_action:open_dialog,239,227,224,True
selenium_app_custom_action,240,227,224,True
selenium_log_out,405,383,398,False
