Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,863,652,False
jmeter_view_dashboard,316,256,False
jmeter_create_issue:open_quick_create,127,106,False
jmeter_view_issue,509,392,False
jmeter_view_scrum_board,446,361,False
jmeter_view_backlog,629,551,False
jmeter_create_issue:fill_and_submit_issue_form,531,470,False
jmeter_view_kanban_board,409,342,False
jmeter_search_jql,1045,867,False
jmeter_browse_projects,191,155,False
jmeter_edit_issue:open_editor,280,209,False
jmeter_view_project_summary,302,229,False
jmeter_edit_issue:save_edit,730,625,False
jmeter_add_comment:open_comment,196,171,False
jmeter_add_comment:save_comment,685,588,False
jmeter_browse_boards,244,155,False
selenium_login:open_login_page,1197,1196,False
selenium_login:login_and_view_dashboard,1685,1555,False
selenium_login,2908,2754,False
selenium_project_summary,398,394,False
selenium_browse_projects_list,298,295,False
selenium_browse_boards_list,731,326,False
selenium_create_issue:open_quick_create,814,825,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,701,709,False
selenium_create_issue:fill_and_submit_issue_form,1350,1367,False
selenium_create_issue,2125,2153,False
selenium_edit_issue:open_edit_issue_form,496,482,False
selenium_edit_issue:save_edit_issue_form,863,808,False
selenium_edit_issue,1977,1934,False
selenium_save_comment:open_comment_form,276,266,False
selenium_save_comment:submit_form,799,730,False
selenium_save_comment,1719,1650,False
selenium_search_jql,1505,1627,False
selenium_view_scrum_board_backlog,1161,1167,False
selenium_view_scrum_board,919,953,False
selenium_view_kanban_board,1113,1155,False
selenium_view_dashboard,298,272,False
selenium_view_issue,508,508,False
selenium_log_out,409,404,False
